Country,Capital City,Latitude,Longitude,Population,Capital Type,ISO-3166-1 alpha-3
Romania,Bucuresti (Bucharest),44.4328,26.1043,1821380,Capital,ROU
Russian Federation,Moskva (Moscow),55.755,37.6218,12409738,Capital,RUS
Rwanda,Kigali,-1.9474,30.0579,1057836,Capital,RWA
Saint Helena,Jamestown,-15.9387,-5.7168,603,Capital,SHN
Saint Kitts and Nevis,Basseterre,17.2948,-62.7261,14434,Capital,KNA
Saint Lucia,Castries,14.006,-60.991,22258,Capital,LCA
Saint Pierre and Miquelon,Saint-Pierre,46.7738,-56.1815,5723,Capital,SPM
Saint Vincent and the Grenadines,Kingstown,13.1587,-61.2248,26636,Capital,VCT
Samoa,Apia,-13.8333,-171.7667,36066,Capital,WSM
San Marino,San Marino,43.9333,12.45,4465,Capital,SMR
Sao Tome and Principe,São Tomé,0.3365,6.7273,80099,Capital,STP
Saudi Arabia,Ar-Riyadh (Riyadh),24.6905,46.7096,6906595,Capital,SAU
Senegal,Dakar,14.6937,-17.4441,2978419,Capital,SEN
Serbia,Beograd (Belgrade),44.8176,20.4633,1389351,Capital,SRB
Seychelles,Victoria,-4.6167,55.45,28091,Capital,SYC
Sierra Leone,Freetown,8.484,-13.2299,1135949,Capital,SLE
Singapore,Singapore,1.2897,103.8501,5791901,Capital,SGP
Sint Maarten (Dutch part),Philipsburg,18.026,-63.0458,40552,Capital,SXM
Slovakia,Bratislava,48.1482,17.1067,429920,Capital,SVK
Slovenia,Ljubljana,46.0511,14.5051,286491,Capital,SVN
Solomon Islands,Honiara,-9.4333,159.95,81801,Capital,SLB
Somalia,Muqdisho (Mogadishu),2.0416,45.3435,2081624,Capital,SOM
South Africa,Cape Town,-33.9258,18.4232,4430367,Legislative Capital,ZAF
South Sudan,Juba,4.8517,31.5825,368914,Capital,SSD
Spain,Madrid,40.4165,-3.7026,6497124,Capital,ESP
Sri Lanka,Colombo,6.9319,79.8478,599821,Capital,LKA
State of Palestine,Al-Quds[East Jerusalem],31.7834,35.2339,275086,Capital,PSE
